date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2023-07-13 19:45:00,342.72,342.9,342.0,342.8,5119.0,0.1988,342.7892,59.8932,342.7892,340.13715215417267,345.4412478458273
2023-07-14 04:00:00,345.52,349.96,343.42,348.0,43417.0,1.5107,343.0482,82.0339,343.0482,341.4791794749157,344.6172205250843
2023-07-14 04:15:00,348.0,348.28,347.86,348.01,13673.0,1.4228,343.2923,82.054,343.2923,341.6136891833921,344.9709108166079
2023-07-14 04:30:00,348.03,348.7,348.0,348.6,9066.0,1.4212,343.5365,83.2174,343.5365,341.85593452291914,345.21706547708084
2023-07-14 04:45:00,348.57,349.22,348.21,348.36,15867.0,1.6605,343.821,80.9697,343.821,342.17988124168403,345.462118758316
2023-07-14 05:00:00,348.4,348.43,347.7,347.98,3964.0,1.5733,344.0905,77.4817,344.0905,342.52183569092387,345.6591643090762
2023-07-14 05:15:00,347.79,348.19,347.4,348.19,8375.0,1.5961,344.364,78.0322,344.364,342.7696537276342,345.95834627236576
2023-07-14 05:30:00,348.13,348.13,347.2,347.48,4465.0,1.38,344.6005,71.7867,344.6005,342.5732679312009,346.6277320687991
2023-07-14 05:45:00,347.35,347.65,346.55,346.71,6927.0,1.1318,344.7945,65.7766,344.7945,342.5729329404791,347.01606705952094
2023-07-14 06:00:00,346.83,348.0,346.8,347.25,8255.0,1.31,345.019,67.7686,345.019,342.72117247911484,347.31682752088517
2023-07-14 06:15:00,347.51,347.88,347.05,347.46,4996.0,1.4215,345.2625,68.5187,345.2625,342.86805985228284,347.65694014771714
2023-07-14 06:30:00,347.29,347.75,347.08,347.15,4456.0,1.3873,345.5,66.1274,345.5,343.02725274453286,347.97274725546714
2023-07-14 06:45:00,347.2,347.65,346.68,347.57,9345.0,1.4655,345.751,67.7334,345.751,343.2485677431854,348.25343225681456
2023-07-14 07:00:00,347.25,348.2,346.15,348.2,55511.0,1.5486,346.0165,69.9808,346.0165,343.50348430134227,348.52951569865775
2023-07-14 07:15:00,348.19,349.13,348.15,348.8,49403.0,1.7651,346.319,71.94,346.319,343.83217351156713,348.8058264884329
2023-07-14 07:30:00,348.85,349.0,348.52,348.73,28493.0,1.7596,346.6205,71.368,346.6205,344.1181110931988,349.12288890680117
2023-07-14 07:45:00,348.73,348.87,348.42,348.8,27405.0,1.7503,346.9205,71.6056,346.9205,344.40464467941854,349.43635532058147
2023-07-14 08:00:00,346.92,349.36,342.66,349.0,164467.0,1.8324,347.2345,72.2972,347.2345,344.6747964273058,349.79420357269424
2023-07-14 08:15:00,349.04,349.65,342.66,349.389,111855.0,1.937,347.5664,73.613,347.5664,344.93094590506746,350.2018540949325
2023-07-14 08:30:00,349.12,349.3,348.05,348.2,84181.0,1.5604,347.8339,63.8548,347.8339,345.131525202936,350.53627479706404
2023-07-14 08:45:00,348.2,348.47,340.555,347.9,34770.0,1.4877,348.0889,61.6831,348.0889,345.3053506313581,350.8724493686419
2023-07-14 09:00:00,347.92,348.36,342.66,347.8,52948.0,-0.0575,348.0789,60.9557,348.0789,345.40518624924056,350.7526137507594
2023-07-14 09:15:00,347.79,347.82,346.308,347.5,73852.0,-0.1465,348.0534,58.7673,348.0534,345.4346020515733,350.67219794842674
2023-07-14 09:30:00,347.59,348.91,346.03,347.05,3428217.0,-0.4446,347.9759,55.6146,347.9759,345.2799339608671,350.67186603913296
2023-07-14 09:45:00,347.055,348.41,346.56,347.65,1328275.0,-0.2038,347.9404,58.7225,347.9404,345.130455926353,350.750344073647
2023-07-14 10:00:00,347.57,349.2,346.65,349.141,1567885.0,0.3336,347.9985,65.1126,347.9985,345.0143975849779,350.98260241502203
2023-07-14 10:15:00,349.15,351.43,349.12,350.48,2932601.0,0.6577,348.113,69.5663,348.113,344.913546241988,351.312453758012
2023-07-14 10:30:00,350.44,350.93,348.89,349.25,1226995.0,0.5094,348.2015,61.9226,348.2015,345.0690129588283,351.3339870411717
2023-07-14 10:45:00,349.26,350.375,348.09,349.597,1396520.0,0.8327,348.3458,63.1258,348.3458,345.2072393996519,351.4843606003481
2023-07-14 11:00:00,349.615,350.39,348.98,349.163,779972.0,0.5509,348.4415,60.6046,348.4415,345.34564003313193,351.5373599668681
2023-07-14 11:15:00,349.17,350.11,348.95,349.44,642494.0,0.5698,348.5405,61.634,348.5405,345.653882978434,351.427117021566
2023-07-14 11:30:00,349.455,349.71,349.0,349.2,480401.0,0.5905,348.643,60.1993,348.643,345.96652002487104,351.3194799751289
2023-07-14 11:45:00,349.22,349.54,349.04,349.32,342204.0,0.5035,348.7305,60.681,348.7305,346.32007757118436,351.14092242881566
2023-07-14 12:00:00,349.36,349.38,347.87,347.89,672034.0,-0.089,348.715,52.6827,348.715,346.6955905663344,350.7344094336656
2023-07-14 12:15:00,347.94,348.26,347.06,347.42,553511.0,-0.3956,348.646,50.385,348.646,346.8919162822577,350.40008371774235
2023-07-14 12:30:00,347.42,347.827,347.18,347.44,364712.0,-0.3699,348.5815,50.4817,348.5815,346.97197947135663,350.1910205286434
